Phrase,Target
job agoda,0
online travel,0
platform accommodations,0
flights,0
deploy cutting-edge technology,0
travelers,0
accommodations,0
asia part,0
holdings,0
employees,0
nationalities,0
work environment,0
rich diversity,0
creativity,0
collaboration,0
innovate culture experimentation ownership,0
ability customers,0
world,0
know team data department,0
’ data-related requirements,0
ultimate goal,0
enable increase use data company,0
creative approaches implementation,0
powerful resources,0
operational analytical databases,0
queue systems,0
bi tools,0
data science technology,0
minds,0
world take challenge equip knowledge tools,0
personal growth success,0
company,0
’ culture diversity experimentation,0
role data team,0
critical business users,0
product managers,0
engineers,0
many others,0
decision making,0
dedicated customers,0
search experience,0
results,0
fraudulent activities,0
data,0
drives,0
part data department,0
reward,0
opportunity data engineer business intelligence team,0
work,0
team interpret business questions data,0
design,0
development,0
support maintain data pipeline,0
work variety data sources,0
data technology data tools,0
licenses,0
data pipeline,0
data reports,0
role,0
works,0
finance data analytics,0
able design,0
proper data pipeline solution,0
measurable scalable develop data pipeline bigdata platform,0
technology stack,0
scala,0
golang,0
python3,0
bash/python,0
team ’ standard quality checklist,0
visibility,0
responsive work,0
data technology date data insight team,0
bachelor ’ advance degree,0
it/statistic related field,0
years,0
data technology,0
fluent english interpersonal skills experience etl tools data pipeline language python,0
databases,0
sql queries,0
good time management,0
skills,0
self-motivation ability work,0
part scrum team,0
great experience data,0
design experience ‘,0
big data ’ technologies,0
tools,0
tensorflow,0
experience,0
third-party libraries,0
experience automate operation tasks script,0
python knowledge business analysis data,0
hungry,0
new tools,0
technologies,0
sydney,0
manila equal opportunity employer agoda,0
pride company,0
people,0
different backgrounds orientations,0
diverse talent,0
inclusive environment encourages collaboration innovation,0
employment agoda,0
person,0
’ merit qualifications,0
equal employment opportunity,0
sex,0
age,0
race,0
color,0
national origin,0
religion,0
marital status,0
pregnancy,0
sexual orientation,0
gender identity,0
disability,0
citizenship,0
military status,0
characteristics,0
application file,0
future vacancies,0
details,0
file,0
privacy policy,0
recruitment agencies,0
agoda,0
third party resumes,0
send resumes jobs,0
agoda employees organization location,0
responsible fees,0
unsolicited resumes,0
job job,0
job board,0
key responsibilities,0
*,0
evaluate define business metrics,0
data building,0
appropriate dashboard,0
reports,0
* consult business stakeholders,0
actionable insights growth business,0
* help team understand reasons,0
trend,0
insights,0
strategic decisions,0
support,0
various business functions development,0
maintenance,0
various management reports,0
contribute ideas efforts product success,0
* perform duties,0
skills/knowledge,0
year/ new graduate students,0
computer science/ software,0
related fields,0
ready work,0
full-time technical skills,0
* experience sql,0
query optimization business intelligence tools,0
* practical experience building reports,0
* experiences design,0
bi solutions,0
data model,0
big data platform,0
advanced excel skill,0
strong analytical thinking ability,0
attitude,0
statistical programming language,0
python,0
manipulate draw insights,0
large data,0
soft skills,0
strong motivation drive impact,0
product improvements,0
comfort collaboration,0
open communication,0
functional borders,0
good problem-solving skill,0
self-starter,0
good communication,0
good verbal,0
communication skills,0
/perks,0
/ *,0
